id,Name,Brand,Price,Image URL,Website,Category,Description,Views,Discount
0,"Micromax In Note 1 (4GB RAM, 64GB) - White",Micromax,131.988,https://i.gadgets360cdn.com/products/large/micromax-in-note-1-370x800-1604390182.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/micromax-in-note-1-price-in-india-98202?pfrom=topstory,Laptop,Best laptop for business professionals,1520,15
1,"HP Pavilion 15-AB205TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Natural Silver)",HP,597.48,https://i.gadgets360cdn.com/products/laptops/large/1525204288_635_pavilion-15-ab205tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-ab205tx-5055,Laptop,Lightweight and portable laptop,1730,5
2,"HP Pavilion 15-AU626TX Laptop (Windows 10, 16GB RAM, 2000GB HDD, Intel Core i5, Natural Silver)",HP,839.76,https://i.gadgets360cdn.com/products/laptops/large/1546453021_635_hp_pavilion-15-au626tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au626tx-5381,Laptop,High-performance laptop for gaming,2694,15
3,"Asus R558UQ-DM539D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Asus,425.88,https://i.gadgets360cdn.com/products/laptops/large/1525207642_635_r558uq-dm539d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-r558uq-dm539d-5335,Laptop,High-performance laptop for gaming,4728,10
4,"HP 240 G4 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch)",HP,330.0,https://i.gadgets360cdn.com/products/laptops/large/1525204305_635_240-g4.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-240-g4-5066,Laptop,High-performance laptop for gaming,1918,15
5,"Acer Aspire E E1-572G Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Acer,714.0,https://i.gadgets360cdn.com/products/laptops/large/1525201889_635_aspire-e-e1-572g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/acer-aspire-e-e1-572g-4787,Laptop,Lightweight and portable laptop,3409,0
6,"Dell Inspiron 3000 3543 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Dell,337.188,https://i.gadgets360cdn.com/products/laptops/large/1525204181_635_inspiron-3000-3543.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/dell-inspiron-3000-3543-5022,Laptop,Powerful laptop for creatives,1949,10
7,"Asus X550LC-XX119H Laptop (Windows 8, 4GB RAM, 750GB HDD, Intel Core i5, Grey, 15.6 inch)",Asus,552.0,https://i.gadgets360cdn.com/products/laptops/large/1525202003_635_x550lc-xx119h.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-x550lc-xx119h-4852,Laptop,Powerful laptop for creatives,3476,15
8,"HP Pavilion 15-AU020TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i7, Gold)",HP,870.0,https://i.gadgets360cdn.com/products/laptops/large/1546454284_635_hp_pavilion-15-au020tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au020tx-5229,Laptop,Budget-friendly laptop with great features,1374,20
9,"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Asus,1182.0,https://i.gadgets360cdn.com/products/laptops/large/1525205917_635_g551vw-fi242t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-g551vw-fi242t-5141,Laptop,Budget-friendly laptop with great features,3450,10
