Name,Brand,Price,Image URL,Website,Category,Description,Views,Discount
"Micromax In Note 1 (4GB RAM, 64GB) - White",Micromax,131.988,https://i.gadgets360cdn.com/products/large/micromax-in-note-1-370x800-1604390182.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/micromax-in-note-1-price-in-india-98202?pfrom=topstory,Laptop,Best laptop for business professionals,1520,15
"HP Pavilion 15-AB205TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Natural Silver)",HP,597.48,https://i.gadgets360cdn.com/products/laptops/large/1525204288_635_pavilion-15-ab205tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-ab205tx-5055,Laptop,Lightweight and portable laptop,1730,5
"HP Pavilion 15-AU626TX Laptop (Windows 10, 16GB RAM, 2000GB HDD, Intel Core i5, Natural Silver)",HP,839.76,https://i.gadgets360cdn.com/products/laptops/large/1546453021_635_hp_pavilion-15-au626tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au626tx-5381,Laptop,High-performance laptop for gaming,2694,15
"Asus R558UQ-DM539D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Asus,425.88,https://i.gadgets360cdn.com/products/laptops/large/1525207642_635_r558uq-dm539d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-r558uq-dm539d-5335,Laptop,High-performance laptop for gaming,4728,10
"HP 240 G4 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Core i3, Black, 14 inch)",HP,330.0,https://i.gadgets360cdn.com/products/laptops/large/1525204305_635_240-g4.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-240-g4-5066,Laptop,High-performance laptop for gaming,1918,15
"Acer Aspire E E1-572G Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Acer,714.0,https://i.gadgets360cdn.com/products/laptops/large/1525201889_635_aspire-e-e1-572g.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/acer-aspire-e-e1-572g-4787,Laptop,Lightweight and portable laptop,3409,0
"Dell Inspiron 3000 3543 Laptop (Linux, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Dell,337.188,https://i.gadgets360cdn.com/products/laptops/large/1525204181_635_inspiron-3000-3543.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/dell-inspiron-3000-3543-5022,Laptop,Powerful laptop for creatives,1949,10
"Asus X550LC-XX119H Laptop (Windows 8, 4GB RAM, 750GB HDD, Intel Core i5, Grey, 15.6 inch)",Asus,552.0,https://i.gadgets360cdn.com/products/laptops/large/1525202003_635_x550lc-xx119h.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-x550lc-xx119h-4852,Laptop,Powerful laptop for creatives,3476,15
"HP Pavilion 15-AU020TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i7, Gold)",HP,870.0,https://i.gadgets360cdn.com/products/laptops/large/1546454284_635_hp_pavilion-15-au020tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au020tx-5229,Laptop,Budget-friendly laptop with great features,1374,20
"Asus Rog G551VW-FI242T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Asus,1182.0,https://i.gadgets360cdn.com/products/laptops/large/1525205917_635_g551vw-fi242t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-g551vw-fi242t-5141,Laptop,Budget-friendly laptop with great features,3450,10
"HP Pavilion 15-AU620TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Natural Silver, 15.6 inch)",HP,683.4,https://i.gadgets360cdn.com/products/laptops/large/1525207812_635_pavilion-15-au620tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au620tx-5388,Laptop,Powerful laptop for creatives,1136,10
"HP Pavilion 15-AU628TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Natural Silver, 15.6 inch)",HP,963.0,https://i.gadgets360cdn.com/products/laptops/large/1525207818_635_pavilion-15-au628tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au628tx-5391,Laptop,Budget-friendly laptop with great features,458,10
"HP 15-AY006TX Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",HP,429.588,https://i.gadgets360cdn.com/products/laptops/large/1525204399_635_15-ay006tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-15-ay006tx-5093,Laptop,Best laptop for business professionals,2100,0
"Lenovo G50 45 Laptop (DOS, 2GB RAM, 500GB HDD, AMD Black, 15.6 inch)",Lenovo,215.88,https://i.gadgets360cdn.com/products/laptops/large/1525206045_635_g50-45.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/lenovo-g50-45-4930,Laptop,Budget-friendly laptop with great features,1380,5
"HP 15-BA021AX Laptop (DOS, 4GB RAM, 1000GB HDD, AMD Silver, 15.6 inch)",HP,389.88,https://i.gadgets360cdn.com/products/laptops/large/1525207787_635_pavilion-15-ba021ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-ba021ax-5376,Laptop,Powerful laptop for creatives,2405,20
"HP Pavilion 15-AU009TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",HP,866.988,https://i.gadgets360cdn.com/products/laptops/large/1525206219_635_pavilion-15-au009tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au009tx-5228,Laptop,High-performance laptop for gaming,3238,15
"MSI PS63 Modern 8RC-066IN 2019 Laptop (Windows 10 Home, 4GB RAM, 512GB SDD, Intel Core i7, Deep Carbon Grey, 15.6 Inches)",MSI,1224.0,https://i.gadgets360cdn.com/products/large/1552655828_635_MSI_PS63_modern.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/msi-ps63-modern-8rc-12957,Laptop,Lightweight and portable laptop,3343,0
"Acer Travel Mate TMP259-G2-MG Laptop (Linux, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",Acer,514.8,https://i.gadgets360cdn.com/products/laptops/large/1525207612_635_travelmate-p2-tmp259-g2-mg.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/acer-travelmate-p2-tmp259-g2-mg-5312,Laptop,Budget-friendly laptop with great features,2555,15
"HP Pavilion 15-AB522TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver)",HP,710.28,https://i.gadgets360cdn.com/products/laptops/large/1525206210_635_pavilion-15-ab522tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-ab522tx-5223,Laptop,Powerful laptop for creatives,16,15
"HP Pavilion 15-AC179TX Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",HP,524.28,https://i.gadgets360cdn.com/products/laptops/large/1525206224_635_pavilion-15-ac179tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-ac179tx-5232,Laptop,Budget-friendly laptop with great features,2733,5
"Asus R558UQ-DM540D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Matte Golden, 15.6 inch)",Asus,491.988,https://i.gadgets360cdn.com/products/laptops/large/1525207643_635_r558uq-dm540d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-r558uq-dm540d-5336,Laptop,High-performance laptop for gaming,3360,20
"Asus R558UQ-DM701D Laptop (DOS, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Asus,623.88,https://i.gadgets360cdn.com/products/laptops/large/1525207665_635_r558uq-dm701d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-r558uq-dm701d-5338,Laptop,Affordable laptop for everyday use,693,15
"Asus R558UF-DM175D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",Asus,532.6800000000001,https://i.gadgets360cdn.com/products/laptops/large/1525205925_635_r558uf-dm175d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-r558uf-dm175d-5146,Laptop,Budget-friendly laptop with great features,2847,10
"HP 14-AC153TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 14 inch)",HP,431.988,https://i.gadgets360cdn.com/products/laptops/large/1525204308_635_14-ac153tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-14-ac153tx-5068,Laptop,Lightweight and portable laptop,654,20
"HP Star Wars 15-AN003TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black)",HP,766.788,https://i.gadgets360cdn.com/products/laptops/large/1525206239_635_15-an003tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-15-an003tx-5241,Laptop,Powerful laptop for creatives,3460,0
"HP 15-AY507TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",HP,570.0,https://i.gadgets360cdn.com/products/laptops/large/1525206312_635_15-ay507tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-15-ay507tx-5255,Laptop,High-performance laptop for gaming,1318,15
"HP Pavilion 15-AB027TX Laptop (Windows 8.1, 4GB RAM, 1000GB HDD, Intel Core i3, Natural Silver, 15.6 inch)",HP,539.988,https://i.gadgets360cdn.com/products/laptops/large/1546455290_635_hp_pavilion-15-ab027tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-ab027tx-5053,Laptop,Lightweight and portable laptop,1120,5
"HP 15-AB032TX Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",HP,645.6,https://i.gadgets360cdn.com/products/laptops/large/1525204301_635_pavilion-15-ab032tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-ab032tx-5063,Laptop,Best laptop for business professionals,2919,0
"HP Pavilion 15-AU084TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",HP,698.088,https://i.gadgets360cdn.com/products/laptops/large/1525206222_635_pavilion-15-au084tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au084tx-5230,Laptop,Affordable laptop for everyday use,4040,10
"Asus R558UF-DM176D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Red, 15.6 inch)",Asus,490.8,https://i.gadgets360cdn.com/products/laptops/large/1525206020_635_r558uf-dm176d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-r558uf-dm176d-5164,Laptop,Best laptop for business professionals,1597,10
"HP Pavilion 15-AU006TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",HP,712.26,https://i.gadgets360cdn.com/products/laptops/large/1525206216_635_pavilion-15-au006tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au006tx-5226,Laptop,Lightweight and portable laptop,1743,10
"Acer Aspire E E5-575 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Acer,323.76,https://i.gadgets360cdn.com/products/laptops/large/1525207602_635_aspire-e-e5-575.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/acer-aspire-e-e5-575-5127,Laptop,Affordable laptop for everyday use,897,10
"HP Pavilion 15-AC121TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, White)",HP,466.8,https://i.gadgets360cdn.com/products/laptops/large/1525204274_635_pavilion-15-ac121tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-ac121tx-5047,Laptop,Affordable laptop for everyday use,4948,5
"Asus X540SA-XX311D Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Gold, 15.6 inch)",Asus,239.988,https://i.gadgets360cdn.com/products/laptops/large/1525205943_635_x540sa-xx311d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-x540sa-xx311d-5158,Laptop,Lightweight and portable laptop,4210,20
"HP Pavilion 15-AU624TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",HP,744.0,https://i.gadgets360cdn.com/products/laptops/large/1525207794_635_pavilion-15-au624tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/hp-pavilion-15-au624tx-5380,Laptop,Budget-friendly laptop with great features,2115,10
"Acer Aspire E5-575 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Acer,491.988,https://i.gadgets360cdn.com/products/laptops/large/1525207596_635_aspire-e5-575.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/acer-aspire-e5-575-5118,Laptop,Affordable laptop for everyday use,709,10
"Lenovo Z51 70 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",Lenovo,660.0,https://i.gadgets360cdn.com/products/laptops/large/1525204431_635_z51-70.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/lenovo-z51-70-5110,Laptop,Best laptop for business professionals,623,0
"Lenovo Y50 70 Laptop (Windows 8.1, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Lenovo,719.88,https://i.gadgets360cdn.com/products/laptops/large/1525202383_635_y50-70.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/lenovo-y50-70-4941,Laptop,Best laptop for business professionals,3089,0
"Asus R558UQ-DM513D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Dark Blue, 15.6 inch)",Asus,503.88,https://i.gadgets360cdn.com/products/laptops/large/1525207640_635_r558uq-dm513d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,https://gadgets.ndtv.com/asus-r558uq-dm513d-5334,Laptop,Best laptop for business professionals,3549,15
